"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"SACER";"Menu.Monitoraggio.EsameOperazioniVolumi";"Esame operazioni sui volumi";3;5;"Menu.Monitoraggio";"Monitoraggio.html?operation=operazioniVolumi&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.ListaDocumenti";"Lista documenti";3;3;"Menu.Monitoraggio";"MonitoraggioSintetico.html?operation=listaDocumentiDaMenu&amp;ti_creazione=OGGI&amp;ti_stato=TUTTI&amp;tipo=DOCUMENTI"
"SACER";"Menu.Monitoraggio.RicercaDateVersamento";"Ricerca date versamento";3;8;"Menu.Monitoraggio";"MonitoraggioTpi.html?operation=loadRicercaDateVers&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoAggiornamentoMetadati";"Riepilogo aggiornamento metadati";3;14;"Menu.Monitoraggio";"MonitoraggioAggMeta.html?operation=loadRiepilogoAggiornamentoMetadati&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoProcessoGenerazioneIndiceAIP";"Riepilogo processo di generazione indice AIP";3;17;"Menu.Monitoraggio";"MonitoraggioIndiceAIP.html?operation=loadRiepilogoProcessoGenerazioneIndiceAIP&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoSessioniFalliteCancellate";"Riepilogo sessioni fallite cancellate";3;18;"Menu.Monitoraggio";"Monitoraggio.html?operation=monitoraggioSessioniErrateFalliteEliminate&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoStruttura";"Riepilogo per struttura";3;1;"Menu.Monitoraggio";"Monitoraggio.html?operation=riepilogoStruttura&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoVersamentiFascicoli";"Riepilogo versamenti fascicoli";3;13;"Menu.Monitoraggio";"MonitoraggioFascicoli.html?operation=loadRiepilogoVersamentiFascicoli&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.RiepilogoVersamentiSintetico";"Riepilogo versamenti sintetico";3;2;"Menu.Monitoraggio";"MonitoraggioSintetico.html?operation=loadRiepilogoVersamentiSintetico&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.SessioniRecupero";"Monitoraggio sessioni di recupero";3;9;"Menu.Monitoraggio";"Monitoraggio.html?operation=loadSessioniRecupero&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.VisualizzaReplicheOrganizzazioni";"Visualizza Repliche Organizzazioni";3;11;"Menu.Monitoraggio";"Monitoraggio.html?operation=replicaOrganizzazioniPage&amp;cleanhistory=true"
"SACER";"Menu.RestituzioneArchivio";"Restituzione archivio";2;11;"Menu";""
"SACER";"Menu.RestituzioneArchivio.RicercaRestArchUd";"Gestione richieste";3;1;"Menu.RestituzioneArchivio";"RestituzioneArchivio.html?operation=loadRicercaRestArchUd&amp;cleanhistory=true"
"SACER";"Menu.Serie";"Gestione serie";2;8;"Menu";""
"SACER";"Menu.Serie.ComunicazioneConsistenza";"Comunicazione consistenza serie";3;2;"Menu.SerieExt";"SerieUD.html?operation=loadComunicazioneConsistenza&amp;cleanhistory=true"
"SACER";"Menu.Serie.CreazioneSerie";"Creazione serie di unità documentarie";3;3;"Menu.Serie";"SerieUD.html?operation=loadCreazioneSerie&amp;cleanhistory=true"
"SACER";"Menu.Serie.ListaSerieDaFirmare";"Serie di unità documentarie da firmare";3;6;"Menu.Serie";"SerieUD.html?operation=loadListaSerieDaFirmare&amp;cleanhistory=true"
"SACER";"Menu.Serie.ListaSerieDaValidare";"Serie di unità documentarie da validare";3;5;"Menu.Serie";"SerieUD.html?operation=loadListaSerieDaValidare&amp;cleanhistory=true"
"SACER";"Menu.Serie.ModelliTipiSerie";"Gestione modelli di tipo serie";3;1;"Menu.Serie";"ModelliSerie.html?operation=loadListaModelliSerie&amp;cleanhistory=true"
"SACER";"Menu.Serie.RicercaSerie";"Gestione serie di unità documentarie";3;4;"Menu.Serie";"SerieUD.html?operation=loadRicercaSerie&amp;cleanhistory=true"
"SACER";"Menu.Serie.RicercaSeriePerUtentiExt";"Ricerca serie di unità documentarie";3;1;"Menu.SerieExt";"SerieUdPerUtentiExt.html?operation=loadRicercaSerie&amp;cleanhistory=true"
"SACER";"Menu.Serie.TipiSerie";"Gestione tipi serie di unità documentarie";3;2;"Menu.Serie";"StrutSerie.html?operation=loadListaTipiSerie&amp;cleanhistory=true"
"SACER";"Menu.SerieExt";"Serie";2;3;"Menu";""
"SACER";"Menu.UnitaDocumentarie";"Unità documentarie";2;1;"Menu";""
"SACER";"Menu.UnitaDocumentarie.Componenti";"Ricerca componenti";3;4;"Menu.UnitaDocumentarie";"Componenti.html?operation=initOnClick&amp;cleanhistory=true"
"SACER";"Menu.UnitaDocumentarie.UnitaDocumentarieRicercaAvanzata";"Ricerca avanzata unità documentarie";3;2;"Menu.UnitaDocumentarie";"UnitaDocumentarie.html?operation=unitaDocumentarieRicercaAvanzata&amp;cleanhistory=true"
"SACER";"Menu.UnitaDocumentarie.UnitaDocumentarieRicercaSemplice";"Ricerca unità documentarie";3;1;"Menu.UnitaDocumentarie";"UnitaDocumentarie.html?operation=unitaDocumentarieRicercaSemplice&amp;cleanhistory=true"
"SACER";"Menu.Volumi.GestioneVolumi";"Volumi di conservazione";3;5;"Menu.ElenchiVersamento";"Volumi.html?operation=initOnClick&amp;cleanhistory=true"
